file1,file2,similarity
GSMR_Tunnel.txt,GSMR_Tunnel.txt,1.0
old_Mental_Hospital.txt,old_Mental_Hospital.txt,1.0
Plattsburg_High_School.txt,Plattsburg_High_School.txt,1.0
Begjaine_House.txt,Begjaine_House.txt,1.0
Midway_Recreation_Center.txt,Midway_Recreation_Center.txt,1.0
McKinney_Hollow.txt,McKinney_Hollow.txt,1.0
_Prospect_Hill.txt,_Prospect_Hill.txt,1.0
Blacks_Cemetery.txt,Blacks_Cemetery.txt,1.0
Manchester.txt,Manchester.txt,1.0
Notasulga_Volunteer_Fire_Department.txt,Notasulga_Volunteer_Fire_Department.txt,1.0
Concord_College.txt,Concord_College.txt,1.0
The_Congress_Hotel.txt,The_Congress_Hotel.txt,1.0
Jim_Beam_Distillery.txt,Jim_Beam_Distillery.txt,1.0
The_Library.txt,The_Library.txt,1.0
Sacramento_City_Cemetery.txt,Sacramento_City_Cemetery.txt,1.0
Bagel_Nosh_Restaurant.txt,Bagel_Nosh_Restaurant.txt,1.0
Goshen.txt,Goshen.txt,1.0
Stricker_Ranch.txt,Stricker_Ranch.txt,1.0
Penn_Valley_Hotel.txt,Penn_Valley_Hotel.txt,1.0
Matthew_Whaley_Elementary_School_301_Scotland_Stre.txt,Matthew_Whaley_Elementary_School_301_Scotland_Stre.txt,1.0
Centennial_Middle_School_formerly_Park_Junior_High.txt,Centennial_Middle_School_formerly_Park_Junior_High.txt,1.0
Arkansas_Creek.txt,Arkansas_Creek.txt,1.0
Wilsons_Creek.txt,Wilsons_Creek.txt,1.0
Sportsmans_RV_Park.txt,Sportsmans_RV_Park.txt,1.0
Sequoia_Middle_School.txt,Sequoia_Middle_School.txt,1.0
The_old_Factory.txt,The_old_Factory.txt,1.0
Don_Cesar_Resort.txt,Don_Cesar_Resort.txt,1.0
Chelas_Market.txt,Chelas_Market.txt,1.0
Noftsger_Hill_Bed_and_Breakfast.txt,Noftsger_Hill_Bed_and_Breakfast.txt,1.0
Mossdale_Bridge.txt,Mossdale_Bridge.txt,1.0
Midtown_Cafe.txt,Midtown_Cafe.txt,1.0
Hebron_Lane_Cemetery.txt,Hebron_Lane_Cemetery.txt,1.0
Kemper_Military_School_and_College_closed_down_old.txt,Kemper_Military_School_and_College_closed_down_old.txt,1.0
Maltby_Cemetery.txt,Maltby_Cemetery.txt,1.0
Upper_Melinda.txt,Upper_Melinda.txt,1.0
Westminster_Church.txt,Westminster_Church.txt,1.0
Mama_Lous_Bridge.txt,Mama_Lous_Bridge.txt,1.0
Whistlers.txt,Whistlers.txt,1.0
courthouse_yard.txt,courthouse_yard.txt,1.0
Eglington_Cemetery.txt,Eglington_Cemetery.txt,1.0
West_Hills.txt,West_Hills.txt,1.0
Airport_on_KettleRun_Road.txt,Airport_on_KettleRun_Road.txt,1.0
Marsh_Road.txt,Marsh_Road.txt,1.0
Helmshire_Inn.txt,Helmshire_Inn.txt,1.0
Read_Dorm_6th_floor.txt,Read_Dorm_6th_floor.txt,1.0
Skinners_Harbor.txt,Skinners_Harbor.txt,1.0
Old_Hanover_Town_Hotel.txt,Old_Hanover_Town_Hotel.txt,1.0
Cascades_Job_Corps.txt,Cascades_Job_Corps.txt,1.0
Hathaway_House.txt,Hathaway_House.txt,1.0
Death_Valley.txt,Death_Valley.txt,1.0
Hollywood_Forever_Cemetery.txt,Hollywood_Forever_Cemetery.txt,1.0
Off_Flintville_Road.txt,Off_Flintville_Road.txt,1.0
Crum_Branch.txt,Crum_Branch.txt,1.0
Bayou_La_Batre_Jail.txt,Bayou_La_Batre_Jail.txt,1.0
Marshfield.txt,Marshfield.txt,1.0
Trowbridge_Road.txt,Trowbridge_Road.txt,1.0
The_Overpass_to_the_Almo_Compound.txt,The_Overpass_to_the_Almo_Compound.txt,1.0
Corpse_Woods.txt,Corpse_Woods.txt,1.0
Octagon_Farms.txt,Octagon_Farms.txt,1.0
University_of_Hawaii.txt,University_of_Hawaii.txt,1.0
Cavalier_Hotel.txt,Cavalier_Hotel.txt,1.0
Jane_Morgan_Home.txt,Jane_Morgan_Home.txt,1.0
Baptist_cemetery.txt,Baptist_cemetery.txt,1.0
Festus_Middle_School.txt,Festus_Middle_School.txt,1.0
Piedmont_College.txt,Piedmont_College.txt,1.0
Presidio_Park.txt,Presidio_Park.txt,1.0
Jackson_Senior_High_School.txt,Jackson_Senior_High_School.txt,1.0
Four_Arches.txt,Four_Arches.txt,1.0
Peters_Woods.txt,Peters_Woods.txt,1.0
Mile_8_12_Chena_Hot_Springs_Road.txt,Mile_8_12_Chena_Hot_Springs_Road.txt,1.0
Eureka_Rd.txt,Eureka_Rd.txt,1.0
Lindenhurst.txt,Lindenhurst.txt,1.0
Wilderness_Battlefield.txt,Wilderness_Battlefield.txt,1.0
The_Irondale_Inn.txt,The_Irondale_Inn.txt,1.0
Cramer_RD_Blue_Lady_House.txt,Cramer_RD_Blue_Lady_House.txt,1.0
The_Old_Han_Dee_Mart_Building.txt,The_Old_Han_Dee_Mart_Building.txt,1.0
Community_Senior_Center_former_Fire_House_Station.txt,Community_Senior_Center_former_Fire_House_Station.txt,1.0
Northside_Pick_n_Save.txt,Northside_Pick_n_Save.txt,1.0
Eaton_Theatre.txt,Eaton_Theatre.txt,1.0
Old_Town_Cemetery.txt,Old_Town_Cemetery.txt,1.0
Griffin_Memorial_School.txt,Griffin_Memorial_School.txt,1.0
The_Victoria.txt,The_Victoria.txt,1.0
Zanesville_Community_Theater.txt,Zanesville_Community_Theater.txt,1.0
Guilpin_Hotel_Casino.txt,Guilpin_Hotel_Casino.txt,1.0
Winslow_School.txt,Winslow_School.txt,1.0
Banchy_bride.txt,Banchy_bride.txt,1.0
apartment_complex.txt,apartment_complex.txt,1.0
Ledge_Lighthouse.txt,Ledge_Lighthouse.txt,1.0
Abandoned_York_PrisonGeorge_St.txt,Abandoned_York_PrisonGeorge_St.txt,1.0
Banks_Middle_School.txt,Banks_Middle_School.txt,1.0
Bethbirei_Church.txt,Bethbirei_Church.txt,1.0
Colburn_Cemetery.txt,Colburn_Cemetery.txt,1.0
Lucky_Lanes_Bowling.txt,Lucky_Lanes_Bowling.txt,1.0
Driskill_Hotel.txt,Driskill_Hotel.txt,1.0
Frear_Park.txt,Frear_Park.txt,1.0
Williams_Covered_Bridge.txt,Williams_Covered_Bridge.txt,1.0
Hargill_Elementary_School.txt,Hargill_Elementary_School.txt,1.0
Highway_between_Daytona_Orlando.txt,Highway_between_Daytona_Orlando.txt,1.0
Old_Salem_Church_and_Cemetery.txt,Old_Salem_Church_and_Cemetery.txt,1.0
Garnet_Ghost_Town.txt,Garnet_Ghost_Town.txt,1.0
Maiden_Lake.txt,Maiden_Lake.txt,1.0
Nationwide_Arena.txt,Nationwide_Arena.txt,1.0
Boldt_Castle.txt,Boldt_Castle.txt,1.0
Silver_SpringWheaton_area.txt,Silver_SpringWheaton_area.txt,1.0
Stanford_Hall.txt,Stanford_Hall.txt,1.0
Old_Corn_Field.txt,Old_Corn_Field.txt,1.0
Bird_Creek_School.txt,Bird_Creek_School.txt,1.0
Philbrook_Museum.txt,Philbrook_Museum.txt,1.0
West_7th_railroad_crossing.txt,West_7th_railroad_crossing.txt,1.0
Panola_Hall.txt,Panola_Hall.txt,1.0
Walking_Horse_Inn.txt,Walking_Horse_Inn.txt,1.0
Miami_University_Oxford_College.txt,Miami_University_Oxford_College.txt,1.0
Cement_Factory.txt,Cement_Factory.txt,1.0
The_Press_Enterprise.txt,The_Press_Enterprise.txt,1.0
Greendale_Cemetery.txt,Greendale_Cemetery.txt,1.0
Jo_Annes_Restaurant.txt,Jo_Annes_Restaurant.txt,1.0
Brantly_House.txt,Brantly_House.txt,1.0
Cypress_Valley_Cemetery.txt,Cypress_Valley_Cemetery.txt,1.0
Holy_Rosary_catholic_school_k_8.txt,Holy_Rosary_catholic_school_k_8.txt,1.0
Mays_Canyon_Road_The_stories_began_around_June_of_.txt,Mays_Canyon_Road_The_stories_began_around_June_of_.txt,1.0
Wallkill_Correctional_Facility.txt,Wallkill_Correctional_Facility.txt,1.0
The_Enterprise_Newspaper_Press_Room.txt,The_Enterprise_Newspaper_Press_Room.txt,1.0
Santa_Rosa.txt,Santa_Rosa.txt,1.0
The_winds_beach_resort.txt,The_winds_beach_resort.txt,1.0
The_Fox_Theatre.txt,The_Fox_Theatre.txt,1.0
GravityRadar_Hill.txt,GravityRadar_Hill.txt,1.0
Bird_Bridge.txt,Bird_Bridge.txt,1.0
Tiwanna_Fatz_Restaurant.txt,Tiwanna_Fatz_Restaurant.txt,1.0
Dunwoody.txt,Dunwoody.txt,1.0
Erie_Canal_Towpath.txt,Erie_Canal_Towpath.txt,1.0
Sand_Ridge_Junior_High.txt,Sand_Ridge_Junior_High.txt,1.0
Webster_Elementary.txt,Webster_Elementary.txt,1.0
Mini_Haha_Park.txt,Mini_Haha_Park.txt,1.0
Johns_Bayou_Road.txt,Johns_Bayou_Road.txt,1.0
Waterloo_Middle_school.txt,Waterloo_Middle_school.txt,1.0
Home_Heart_and_Friends.txt,Home_Heart_and_Friends.txt,1.0
Belvin_St.txt,Belvin_St.txt,1.0
Bronson_Hospital.txt,Bronson_Hospital.txt,1.0
Hilton_Hawaii_Village.txt,Hilton_Hawaii_Village.txt,1.0
Performing_Arts_Center.txt,Performing_Arts_Center.txt,1.0
Cochise_Stronghold_State_Park.txt,Cochise_Stronghold_State_Park.txt,1.0
Griswold_School.txt,Griswold_School.txt,1.0
Savannah_College_of_Art.txt,Savannah_College_of_Art.txt,1.0
Hangmans_Tree.txt,Hangmans_Tree.txt,1.0
Baileys_Prairie.txt,Baileys_Prairie.txt,1.0
Pelican_Alley_Restaurant.txt,Pelican_Alley_Restaurant.txt,1.0
The_Good_Shepherd_Hospice.txt,The_Good_Shepherd_Hospice.txt,1.0
Bottom_Road.txt,Bottom_Road.txt,1.0
Binford_Elementary.txt,Binford_Elementary.txt,1.0
Grimes_Point.txt,Grimes_Point.txt,1.0
Salve_Regina_University.txt,Salve_Regina_University.txt,1.0
Pizza_Hut.txt,Pizza_Hut.txt,1.0
Empire_Mine_Road.txt,Empire_Mine_Road.txt,1.0
Groveland_Cemetery.txt,Groveland_Cemetery.txt,1.0
Riverdale_Road.txt,Riverdale_Road.txt,1.0
Nemacolin_Castle.txt,Nemacolin_Castle.txt,1.0
Pleasant_Lake_Nursing_Home.txt,Pleasant_Lake_Nursing_Home.txt,1.0
The_Chicken_Box.txt,The_Chicken_Box.txt,1.0
The_Ham_House.txt,The_Ham_House.txt,1.0
Newport_Harbor_High_School.txt,Newport_Harbor_High_School.txt,1.0
Wal_Mart_DC.txt,Wal_Mart_DC.txt,1.0
Woodstock_Opera_House.txt,Woodstock_Opera_House.txt,1.0
Southern_Connecticut_State_University.txt,Southern_Connecticut_State_University.txt,1.0
Peters_Cartridge_Factory.txt,Peters_Cartridge_Factory.txt,1.0
Shoshone_Bar.txt,Shoshone_Bar.txt,1.0
Old_Hospital_Alice_P_and_S.txt,Old_Hospital_Alice_P_and_S.txt,1.0
place_2756.txt,place_2756.txt,1.0
Cave_Hill.txt,Cave_Hill.txt,1.0
